date,mxn
7/4/2017,18.21405
7/5/2017,18.30842
7/6/2017,18.272961
7/7/2017,18.07098
7/10/2017,17.937651
7/11/2017,17.915991
7/12/2017,17.771049
7/13/2017,17.688801
7/14/2017,17.5546
7/17/2017,17.577299
7/18/2017,17.49135
7/19/2017,17.57143
7/20/2017,17.489929
7/21/2017,17.63681
7/24/2017,17.7265
7/25/2017,17.763241
7/26/2017,17.576599
7/27/2017,17.72571
7/28/2017,17.767731
7/31/2017,17.80965
8/1/2017,17.880501
8/2/2017,17.828569
8/3/2017,17.853991
8/4/2017,17.88521
8/7/2017,17.925699
8/8/2017,17.860559
8/9/2017,17.95096
8/10/2017,17.974701
8/11/2017,17.811399
8/14/2017,17.774611
8/15/2017,17.805201
8/16/2017,17.66577
8/17/2017,17.893499
8/18/2017,17.69471
8/21/2017,17.659809
8/22/2017,17.655121
8/23/2017,17.6835
8/24/2017,17.6987
8/25/2017,17.59952
8/28/2017,17.9228
8/29/2017,17.851789
8/30/2017,17.73657
8/31/2017,17.8773
9/1/2017,17.809071
9/4/2017,17.880751
9/5/2017,17.88582
9/6/2017,17.764999
9/7/2017,17.65139
9/8/2017,17.707541
9/11/2017,17.66725
9/12/2017,17.72504
9/13/2017,17.76166
9/14/2017,17.66876
9/15/2017,17.655069
9/18/2017,17.738701
9/19/2017,17.81599
9/20/2017,17.7974
9/21/2017,17.874689
9/22/2017,17.737129
9/25/2017,17.906601
9/26/2017,17.9484
9/27/2017,18.2211
9/28/2017,18.144899
9/29/2017,18.1264
10/2/2017,18.24515
10/3/2017,18.211109
10/4/2017,18.2642
10/5/2017,18.4778
10/6/2017,18.4778
10/9/2017,18.665689
10/10/2017,18.81238
10/11/2017,18.69142
10/12/2017,18.87998
10/13/2017,18.9
10/16/2017,19.04295
10/17/2017,18.793949
10/18/2017,18.88134
10/19/2017,18.798901
10/20/2017,18.98094
10/23/2017,19.062599
10/24/2017,19.234051
10/25/2017,19.095539
10/26/2017,19.1786
10/27/2017,19.125
10/30/2017,19.22628
10/31/2017,19.17115
11/1/2017,19.11529
11/2/2017,18.98225
11/3/2017,19.201771
11/6/2017,19.04645
11/7/2017,19.133499
11/8/2017,19.090401
11/9/2017,19.025551
11/10/2017,19.10148
11/13/2017,19.107
11/14/2017,19.15749
11/15/2017,19.23595
11/16/2017,19.047951
11/17/2017,18.90188
11/20/2017,18.993851
11/21/2017,18.8015
11/22/2017,18.6271
11/23/2017,18.6112
11/24/2017,18.53661
11/27/2017,18.562799
11/28/2017,18.53355
11/29/2017,18.551001
11/30/2017,18.64817
12/1/2017,18.611719
12/4/2017,18.610451
12/5/2017,18.770149
12/6/2017,18.8512
12/7/2017,18.952499
12/8/2017,18.90797
12/11/2017,19.05345
12/12/2017,19.1696
12/13/2017,19.01265
12/14/2017,19.11339
12/15/2017,19.1028
12/18/2017,19.05751
12/19/2017,19.219351
12/20/2017,19.223989
12/21/2017,19.468691
12/22/2017,19.735889
12/25/2017,19.740999
12/26/2017,19.875179
12/27/2017,19.7075
12/28/2017,19.695601
12/29/2017,19.65539
1/1/2018,19.65085
1/2/2018,19.4974
1/3/2018,19.351101
1/4/2018,19.306971
1/5/2018,19.174
1/8/2018,19.19212
1/9/2018,19.24468
1/10/2018,19.263
1/11/2018,19.21537
1/12/2018,19.033001
1/15/2018,18.858709
1/16/2018,18.752501
1/17/2018,18.71685
1/18/2018,18.586901
1/19/2018,18.620541
1/22/2018,18.707781
1/23/2018,18.6733
1/24/2018,18.53503
1/25/2018,18.60948
1/26/2018,18.4765
1/29/2018,18.597799
1/30/2018,18.76598
1/31/2018,18.587099
2/1/2018,18.33301
2/2/2018,18.576599
2/5/2018,18.815929
2/6/2018,18.6213
2/7/2018,18.778
2/8/2018,18.869101
2/9/2018,18.689699
2/12/2018,18.5881
2/13/2018,18.6343
2/14/2018,18.555099
2/15/2018,18.50272
2/16/2018,18.5051
2/19/2018,18.5173
2/20/2018,18.7034
2/21/2018,18.8381
2/22/2018,18.603901
2/23/2018,18.5201
2/26/2018,18.663799
2/27/2018,18.829
2/28/2018,18.8251
3/1/2018,18.84297
3/2/2018,18.80831
3/5/2018,18.784651
3/6/2018,18.849951
